drug1	drug1_name	drug2	drug2_name	common_disease	common_disease_name
DB06209	prasugrel	DB00758	clopidogrel	C0040053	thrombosis
DB06209	prasugrel	DB00758	clopidogrel	C0948089	acute coronary syndrome (ACS)
DB06209	prasugrel	DB00758	clopidogrel	C0038454	stroke
DB04572	thiotepa	DB00531	cyclophosphamide	C0024299	Lymphoma
DB04572	thiotepa	DB00531	cyclophosphamide	C0027022	Myeloproliferative Disease
DB04572	thiotepa	DB00531	cyclophosphamide	C0019829	Hodgkin's lymphoma
DB01001	albuterol	DB01409	tiotropium	C0024117	Chronic Obstructive Airway Disease
DB01001	albuterol	DB01409	tiotropium	C0004096	asthma
DB01001	albuterol	DB01409	tiotropium	C0008677	Bronchitis, Chronic
DB01001	albuterol	DB00986	Glycopyrronium	C0024117	Chronic Obstructive Airway Disease
DB00051	Adalimumab	DB00635	prednisone	C0010346	Crohn's disease
DB00051	Adalimumab	DB00635	prednisone	C0009324	ulcerative colitis
DB00051	Adalimumab	DB00635	prednisone	C0003872	psoriatic arthritis
DB00051	Adalimumab	DB00635	prednisone	C0038013	ankylosing spondylitis
DB00051	Adalimumab	DB00635	prednisone	C0003873	rheumatoid arthritis
DB01041	Thalidomide	DB00480	lenalidomide	C0026764	multiple myeloma
DB00515	cisplatin	DB00570	vinblastine	C0024305	non-Hodgkin lymphoma (NHL)
DB00515	cisplatin	DB00570	vinblastine	C0027819	neuroblastoma
DB00515	cisplatin	DB00570	vinblastine	C0039590	Testicular Neoplasms
DB00515	cisplatin	DB00570	vinblastine	C1458155	Mammary Neoplasms
DB00515	cisplatin	DB00570	vinblastine	C0019829	Hodgkin's lymphoma
DB00295	Morphine	DB00921	Buprenorphine	C0150055	chronic pain
DB00030	insulin human	DB01261	sitagliptin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00030	insulin human	DB01261	sitagliptin	C0011849	diabetes mellitus
DB06825	triptorelin	DB00717	norethindrone	C0014175	endometriosis
DB00007	leuprolide	DB00624	testosterone	C1458155	Mammary Neoplasms
DB00875	flupentixol	DB00502	haloperidol	C0036341	schizophrenia
DB00209	trospium	DB01591	solifenacin-succinate	C0085606	Urgency of micturition
DB00209	trospium	DB01591	solifenacin-succinate	C0878773	Overactive Bladder
DB00209	trospium	DB01591	solifenacin-succinate	C0042024	urinary incontinence
DB00209	trospium	DB01591	solifenacin-succinate	C0042023	Increased frequency of micturition
DB06285	Teriparatide	DB00481	raloxifene	C0029458	Osteoporosis, Postmenopausal
DB06285	Teriparatide	DB00481	raloxifene	C0029456	osteoporosis
DB00635	prednisone	DB00563	methotrexate	C0024305	non-Hodgkin lymphoma (NHL)
DB00635	prednisone	DB00563	methotrexate	C0026948	Mycosis Fungoides
DB00635	prednisone	DB00563	methotrexate	C0023449	Acute Lymphocytic Leukemia
DB00635	prednisone	DB00563	methotrexate	C0033860	psoriasis
DB00635	prednisone	DB00563	methotrexate	C0003873	rheumatoid arthritis
DB08931	riociguat	DB00203	sildenafil	C2973725	pulmonary arterial hypertension (PAH)
DB00673	aprepitant	DB00889	granisetron	C0042963	vomiting
DB00673	aprepitant	DB00889	granisetron	C0027497	nausea
DB06589	pazopanib	DB01590	everolimus	C0007134	renal cell carcinoma (RCC)
DB01083	orlistat	DB01105	Sibutramine	C0028754	obesity
DB11817	baricitinib	DB00563	methotrexate	C0003873	rheumatoid arthritis
DB09045	Dulaglutide	DB00046	Insulin Lispro	C0020456	hyperglycemia
DB09045	Dulaglutide	DB00046	Insulin Lispro	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB01248	docetaxel	DB08911	trametinib	C0025202	melanoma
DB00264	metoprolol	DB00310	chlorthalidone	C0020538	Hypertensive disease
DB00959	methylprednisolone	DB00860	prednisolone	C0005138	Berylliosis
DB00959	methylprednisolone	DB00860	prednisolone	C0030807	Pemphigus
DB00959	methylprednisolone	DB00860	prednisolone	C0011616	contact dermatitis
DB00959	methylprednisolone	DB00860	prednisolone	C0037274	Dermatologic disorders
DB00959	methylprednisolone	DB00860	prednisolone	C0026948	Mycosis Fungoides
DB00959	methylprednisolone	DB00860	prednisolone	C0009324	ulcerative colitis
DB00959	methylprednisolone	DB00860	prednisolone	C0003872	psoriatic arthritis
DB00959	methylprednisolone	DB00860	prednisolone	C0039103	Synovitis
DB00959	methylprednisolone	DB00860	prednisolone	C0033860	psoriasis
DB00959	methylprednisolone	DB00860	prednisolone	C0019829	Hodgkin's lymphoma
DB00959	methylprednisolone	DB00860	prednisolone	C0020517	Hypersensitivity
DB00959	methylprednisolone	DB00860	prednisolone	C0001627	congenital adrenal hyperplasia
DB00959	methylprednisolone	DB00860	prednisolone	C0002994	angioedema
DB00959	methylprednisolone	DB00860	prednisolone	C0021390	inflammatory bowel disease
DB00959	methylprednisolone	DB00860	prednisolone	C0023052	Laryngeal Edema
DB00959	methylprednisolone	DB00860	prednisolone	C0036508	seborrheic dermatitis
DB00959	methylprednisolone	DB00860	prednisolone	C0038013	ankylosing spondylitis
DB00959	methylprednisolone	DB00860	prednisolone	C0024301	follicular lymphoma
DB00959	methylprednisolone	DB00860	prednisolone	C0027726	nephrotic syndrome
DB00959	methylprednisolone	DB00860	prednisolone	C0015397	Disorder of eye
DB00959	methylprednisolone	DB00860	prednisolone	C0002875	Cooley's anemia
DB00959	methylprednisolone	DB00860	prednisolone	C0003873	rheumatoid arthritis
DB00959	methylprednisolone	DB00860	prednisolone	C0024305	non-Hodgkin lymphoma (NHL)
DB00959	methylprednisolone	DB00860	prednisolone	C0024141	Lupus Erythematosus, Systemic
DB00959	methylprednisolone	DB00860	prednisolone	C0006114	Cerebral Edema
DB00959	methylprednisolone	DB00860	prednisolone	C1260899	Anemia, Diamond-Blackfan
DB00959	methylprednisolone	DB00860	prednisolone	C0011606	Exfoliative Dermatitis
DB00959	methylprednisolone	DB00860	prednisolone	C0004364	Autoimmune Diseases
DB00959	methylprednisolone	DB00860	prednisolone	C0036202	Sarcoidosis
DB00959	methylprednisolone	DB00860	prednisolone	C0015230	Exanthema
DB00959	methylprednisolone	DB00860	prednisolone	C0040147	thyroiditis
DB00959	methylprednisolone	DB00860	prednisolone	C0079773	cutaneous T-cell lymphoma (CTCL)
DB00959	methylprednisolone	DB00860	prednisolone	C0405580	Adrenal Cortical Hypofunction
DB00959	methylprednisolone	DB00860	prednisolone	C0001403	Addison's disease
DB00959	methylprednisolone	DB00860	prednisolone	C0036830	Serum Sickness
DB00959	methylprednisolone	DB00860	prednisolone	C0014742	Erythema Multiforme
DB00959	methylprednisolone	DB00860	prednisolone	C2607914	Allergic Rhinitis (Disorder)
DB00959	methylprednisolone	DB00860	prednisolone	C0024138	Lupus Erythematosus, Discoid
DB00959	methylprednisolone	DB00860	prednisolone	C0002880	Autoimmune Hemolytic Anemia
DB00959	methylprednisolone	DB00860	prednisolone	C0026769	multiple sclerosis
DB00959	methylprednisolone	DB00860	prednisolone	C0011615	Dermatitis, Atopic
DB00959	methylprednisolone	DB00860	prednisolone	C0010346	Crohn's disease
DB00959	methylprednisolone	DB00860	prednisolone	C0023449	Acute Lymphocytic Leukemia
DB00959	methylprednisolone	DB00860	prednisolone	C0004096	asthma
DB00959	methylprednisolone	DB00860	prednisolone	C0003868	Arthritis, Gouty
DB00047	Insulin Glargine	DB00046	Insulin Lispro	C2748055	Hypoinsulinaemia
DB00047	Insulin Glargine	DB00046	Insulin Lispro	C0011849	diabetes mellitus
DB00047	Insulin Glargine	DB00046	Insulin Lispro	C0020456	hyperglycemia
DB00047	Insulin Glargine	DB00046	Insulin Lispro	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00047	Insulin Glargine	DB00046	Insulin Lispro	C0011854	Diabetes Mellitus, Insulin-Dependent
DB06650	ofatumumab	DB09053	ibrutinib	C0023434	chronic lymphocytic leukemia (CLL)
DB06273	Tocilizumab	DB00959	methylprednisolone	C0003873	rheumatoid arthritis
DB00361	vinorelbine	DB00531	cyclophosphamide	C1458155	Mammary Neoplasms
DB00361	vinorelbine	DB00531	cyclophosphamide	C0919267	Ovarian Neoplasm
DB00361	vinorelbine	DB00531	cyclophosphamide	C0019829	Hodgkin's lymphoma
DB06268	Sitaxentan	DB00203	sildenafil	C2973725	pulmonary arterial hypertension (PAH)
DB06268	Sitaxentan	DB00820	tadalafil	C0020542	Pulmonary Hypertension
DB00682	warfarin	DB00227	lovastatin	C0027051	Myocardial Infarction
DB01212	ceftriaxone	DB00916	metronidazole	C0149725	Lower respiratory tract infection
DB01212	ceftriaxone	DB00916	metronidazole	C2242472	Infection of bone
DB01212	ceftriaxone	DB00916	metronidazole	C0031154	peritonitis
DB00398	sorafenib	DB01590	everolimus	C0007134	renal cell carcinoma (RCC)
DB00230	pregabalin	DB00476	duloxetine	C0031117	peripheral neuropathy
DB08881	vemurafenib	DB05239	cobimetinib	C0025202	melanoma
DB00105	DB00105	DB00041	aldesleukin	C0024305	non-Hodgkin lymphoma (NHL)
DB00105	DB00105	DB00041	aldesleukin	C0007134	renal cell carcinoma (RCC)
DB00105	DB00105	DB00041	aldesleukin	C0026764	multiple myeloma
DB00105	DB00105	DB00041	aldesleukin	C0025202	melanoma
DB00105	DB00105	DB00041	aldesleukin	C0009404	Colorectal Neoplasms
DB00008	Peginterferon alfa-2a	DB00300	tenofovir-disoproxil	C0524909	Hepatitis B, Chronic
DB09292	sacubitril	DB00177	valsartan	C0018802	congestive heart failure
DB09302	Alirocumab	DB01076	atorvastatin	C0020443	hypercholesterolemia
DB09302	Alirocumab	DB01076	atorvastatin	C0020473	hyperlipidemia
DB04868	nilotinib	DB00619	imatinib	C0023473	chronic myeloid leukemia (CML)
DB04868	nilotinib	DB00619	imatinib	C0023472	Leukemia, Myeloid, Accelerated Phase
DB00983	formoterol	DB00938	salmeterol	C0024117	Chronic Obstructive Airway Disease
DB00983	formoterol	DB00938	salmeterol	C0004096	asthma
DB00983	formoterol	DB00938	salmeterol	C0034067	Pulmonary Emphysema
DB00367	levonorgestrel	DB00302	Tranexamic Acid	C0025323	Menorrhagia
DB00367	levonorgestrel	DB00784	mefenamic-acid	C0025323	Menorrhagia
DB00295	Morphine	DB00316	paracetamol	C0030193	Pain
DB00234	reboxetine	DB00215	citalopram	C1269683	Major Depressive Disorder
DB08889	carfilzomib	DB06603	panobinostat	C0026764	multiple myeloma
DB01001	albuterol	DB01656	roflumilast	C0004096	asthma
DB00977	ethinyl-estradiol	DB00367	levonorgestrel	C0025323	Menorrhagia
DB08912	dabrafenib	DB08911	trametinib	C0025202	melanoma
DB00653	Magnesium Sulfate	DB00281	lidocaine	C0003811	Cardiac Arrhythmia
DB00653	Magnesium Sulfate	DB00281	lidocaine	C0042510	ventricular fibrillation (VF)
DB06218	lacosamide	DB01202	levetiracetam	C0036572	seizures
DB06218	lacosamide	DB01202	levetiracetam	C0014544	epilepsy
DB00203	sildenafil	DB00820	tadalafil	C0242350	erectile dysfunction
DB04106	fotemustine	DB00851	dacarbazine	C0025202	melanoma
DB00105	DB00105	DB00851	dacarbazine	C0025202	melanoma
DB00398	sorafenib	DB00544	5-fluorouracil	C0007134	renal cell carcinoma (RCC)
DB00559	bosentan	DB00770	alprostadil	C0020542	Pulmonary Hypertension
DB08882	linagliptin	DB00331	metformin	C0020456	hyperglycemia
DB08882	linagliptin	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB08882	linagliptin	DB00331	metformin	C0011849	diabetes mellitus
DB00388	phenylephrine	DB00455	loratadine	C2607914	Allergic Rhinitis (Disorder)
DB00388	phenylephrine	DB00455	loratadine	C0027424	Nasal congestion (finding)
DB00388	phenylephrine	DB00455	loratadine	C0018621	Hay Fever
DB06774	capsaicin	DB00281	lidocaine	C0032768	postherpetic neuralgia
DB06774	capsaicin	DB00281	lidocaine	C0027796	Neuralgia
DB09079	nintedanib	DB04951	pirfenidone	C1800706	idiopathic pulmonary fibrosis (IPF)
DB00945	aspirin	DB01017	minocycline	C0015967	fever
DB01276	exenatide	DB01132	pioglitazone	C0020456	hyperglycemia
DB01276	exenatide	DB01132	pioglitazone	C0011849	diabetes mellitus
DB01229	paclitaxel	DB00445	epirubicin	C0678222	Breast Carcinoma
DB01229	paclitaxel	DB00445	epirubicin	C1458155	Mammary Neoplasms
DB01229	paclitaxel	DB00445	epirubicin	C0006142	Malignant Neoplasm Of Breast
DB00550	propylthiouracil	DB00389	carbimazole	C0018213	Grave's disease
DB00550	propylthiouracil	DB00389	carbimazole	C0020550	hyperthyroidism
DB01394	colchicine	DB00437	allopurinol	C0018099	gout
DB00983	formoterol	DB01222	budesonide	C0004096	asthma
DB00370	mirtazapine	DB00715	paroxetine	C1269683	Major Depressive Disorder
DB00105	DB00105	DB00188	bortezomib	C0026764	multiple myeloma
DB12248	tulobuterol	DB01409	tiotropium	C0004096	asthma
DB00642	pemetrexed	DB00317	gefitinib	C0007131	Non-Small Cell Lung Carcinoma
DB01098	rosuvastatin	DB00758	clopidogrel	C0004153	atherosclerosis
DB01098	rosuvastatin	DB00758	clopidogrel	C0038454	stroke
DB00016	Erythropoietin	DB08894	PEGINESATIDE	C0002871	anemia
DB00515	cisplatin	DB09074	olaparib	C1140680	Malignant Neoplasm Of Ovary
DB11560	lesinurad	DB00437	allopurinol	C0018099	gout
DB11560	lesinurad	DB00437	allopurinol	C0740394	hyperuricemia
DB01262	decitabine	DB01254	dasatinib	C0023473	chronic myeloid leukemia (CML)
DB11560	lesinurad	DB04854	febuxostat	C0018099	gout
DB11560	lesinurad	DB04854	febuxostat	C0740394	hyperuricemia
DB06655	liraglutide	DB00222	glimepiride	C0020456	hyperglycemia
DB06655	liraglutide	DB00222	glimepiride	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB06655	liraglutide	DB00222	glimepiride	C0011849	diabetes mellitus
DB01204	mitoxantrone	DB00242	cladribine	C0026769	multiple sclerosis
DB01268	sunitinib	DB06287	temsirolimus	C0007134	renal cell carcinoma (RCC)
DB01115	nifedipine	DB00177	valsartan	C0020538	Hypertensive disease
DB00073	Rituximab	DB09053	ibrutinib	C0023434	chronic lymphocytic leukemia (CLL)
DB00073	Rituximab	DB09053	ibrutinib	C0079731	B-Cell Lymphomas
DB00986	Glycopyrronium	DB05039	indacaterol	C0024117	Chronic Obstructive Airway Disease
DB08816	ticagrelor	DB06209	prasugrel	C0027051	Myocardial Infarction
DB08816	ticagrelor	DB06209	prasugrel	C0040053	thrombosis
DB08816	ticagrelor	DB06209	prasugrel	C0948089	acute coronary syndrome (ACS)
DB08816	ticagrelor	DB06209	prasugrel	C0038454	stroke
DB01216	finasteride	DB00706	tamsulosin	C2937421	Prostatic Hyperplasia
DB00635	prednisone	DB00244	mesalazine	C0014356	Enterocolitis
DB00635	prednisone	DB00244	mesalazine	C0009324	ulcerative colitis
DB00635	prednisone	DB00244	mesalazine	C0021390	inflammatory bowel disease
DB00394	beclomethasone-dipropionate	DB00571	propranolol	C0003811	Cardiac Arrhythmia
DB00343	diltiazem	DB00381	amlodipine	C0002962	angina pectoris
DB00343	diltiazem	DB00381	amlodipine	C0020538	Hypertensive disease
DB00695	furosemide	DB00214	torasemide	C0020538	Hypertensive disease
DB00695	furosemide	DB00214	torasemide	C0023890	hepatic cirrhosis
DB00695	furosemide	DB00214	torasemide	C0018802	congestive heart failure
DB00695	furosemide	DB00214	torasemide	C0022661	chronic renal failure
DB00695	furosemide	DB00214	torasemide	C0027726	nephrotic syndrome
DB00695	furosemide	DB00214	torasemide	C0022660	Kidney Failure, Acute
DB00695	furosemide	DB00214	torasemide	C0034063	Pulmonary Edema
DB00695	furosemide	DB00214	torasemide	C0013604	edema
DB01118	amiodarone	DB00489	sotalol	C0003811	Cardiac Arrhythmia
DB01118	amiodarone	DB00489	sotalol	C0085612	ventricular arrhythmias
DB01118	amiodarone	DB00489	sotalol	C0042510	ventricular fibrillation (VF)
DB01118	amiodarone	DB00489	sotalol	C0039240	Supraventricular Tachycardia
DB00208	ticlopidine	DB00945	aspirin	C0040053	thrombosis
DB00531	cyclophosphamide	DB00188	bortezomib	C0026764	multiple myeloma
DB00531	cyclophosphamide	DB00762	irinotecan	C0023418	Leukemia
DB00531	cyclophosphamide	DB00762	irinotecan	C1458155	Mammary Neoplasms
DB00531	cyclophosphamide	DB00762	irinotecan	C0024299	Lymphoma
DB00334	olanzapine	DB06288	amisulpride	C0036341	schizophrenia
DB00334	olanzapine	DB06288	amisulpride	C0005586	bipolar disorder
DB06285	Teriparatide	DB00884	risedronate	C0029458	Osteoporosis, Postmenopausal
DB06285	Teriparatide	DB00884	risedronate	C0029456	osteoporosis
DB00783	estradiol	DB00367	levonorgestrel	C0025323	Menorrhagia
DB00583	levocarnitine	DB01076	atorvastatin	C0020476	Hyperlipoproteinemias
DB00583	levocarnitine	DB01076	atorvastatin	C0020473	hyperlipidemia
DB00471	montelukast	DB00635	prednisone	C0035457	Rhinitis, Allergic, Perennial
DB00471	montelukast	DB00635	prednisone	C2607914	Allergic Rhinitis (Disorder)
DB00471	montelukast	DB00635	prednisone	C0004096	asthma
DB00284	acarbose	DB00331	metformin	C0020456	hyperglycemia
DB00284	acarbose	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00284	acarbose	DB00331	metformin	C0011849	diabetes mellitus
DB09045	Dulaglutide	DB00331	metformin	C0020456	hyperglycemia
DB09045	Dulaglutide	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB02638	terlipressin	DB00368	norepinephrine	C0020649	hypotension
DB05271	rotigotine	DB01235	levodopa	C0030567	Parkinson's Disease
DB06655	liraglutide	DB01306	insulin aspart, biphasic isophane [injection]	C0011849	diabetes mellitus
DB00706	tamsulosin	DB01126	dutasteride	C2937421	Prostatic Hyperplasia
DB09079	nintedanib	DB01248	docetaxel	C0007131	Non-Small Cell Lung Carcinoma
DB00515	cisplatin	DB00997	doxorubicin	C0024305	non-Hodgkin lymphoma (NHL)
DB00515	cisplatin	DB00997	doxorubicin	C0005695	Bladder Neoplasm
DB00515	cisplatin	DB00997	doxorubicin	C0026764	multiple myeloma
DB00515	cisplatin	DB00997	doxorubicin	C1140680	Malignant Neoplasm Of Ovary
DB00515	cisplatin	DB00997	doxorubicin	C0019829	Hodgkin's lymphoma
DB00515	cisplatin	DB00997	doxorubicin	C0027819	neuroblastoma
DB00515	cisplatin	DB00997	doxorubicin	C1458155	Mammary Neoplasms
DB00515	cisplatin	DB00997	doxorubicin	C0919267	Ovarian Neoplasm
DB01076	atorvastatin	DB08860	pitavastatin	C0020443	hypercholesterolemia
DB01076	atorvastatin	DB08860	pitavastatin	C0020474	Hyperlipidemia, Familial Combined
DB01076	atorvastatin	DB08860	pitavastatin	C0020473	hyperlipidemia
DB01098	rosuvastatin	DB08860	pitavastatin	C0020443	hypercholesterolemia
DB01098	rosuvastatin	DB08860	pitavastatin	C0020474	Hyperlipidemia, Familial Combined
DB01098	rosuvastatin	DB08860	pitavastatin	C0020473	hyperlipidemia
DB06292	dapagliflozin	DB06335	saxagliptin	C0020456	hyperglycemia
DB06292	dapagliflozin	DB06335	saxagliptin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB06292	dapagliflozin	DB06335	saxagliptin	C0011849	diabetes mellitus
DB09038	empagliflozin	DB00331	metformin	C0020456	hyperglycemia
DB09038	empagliflozin	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB09038	empagliflozin	DB00331	metformin	C0011849	diabetes mellitus
DB01128	bicalutamide	DB06699	degarelix	C0376358	Malignant Neoplasm Of Prostate
DB06655	liraglutide	DB01276	exenatide	C0020456	hyperglycemia
DB06655	liraglutide	DB01276	exenatide	C0011849	diabetes mellitus
DB00776	oxcarbazepine	DB09119	eslicarbazepine-acetate	C0036572	seizures
DB00776	oxcarbazepine	DB09119	eslicarbazepine-acetate	C0014544	epilepsy
DB00073	Rituximab	DB11581	venetoclax	C0023434	chronic lymphocytic leukemia (CLL)
DB00334	olanzapine	DB00472	fluoxetine	C1269683	Major Depressive Disorder
DB00334	olanzapine	DB00472	fluoxetine	C0005586	bipolar disorder
DB00334	olanzapine	DB00472	fluoxetine	C0005587	Depression, Bipolar
DB00398	sorafenib	DB06287	temsirolimus	C0007134	renal cell carcinoma (RCC)
DB05578	Ramucirumab	DB01248	docetaxel	C0007131	Non-Small Cell Lung Carcinoma
DB00559	bosentan	DB01088	iloprost	C0020542	Pulmonary Hypertension
DB00559	bosentan	DB01088	iloprost	C2973725	pulmonary arterial hypertension (PAH)
DB00335	atenolol-(+/-)	DB09026	aliskiren-hemifumarate	C0020538	Hypertensive disease
DB01099	flucytosine	DB00196	fluconazole	C0025289	meningitis
DB09302	Alirocumab	DB01039	fenofibrate	C0020443	hypercholesterolemia
DB09302	Alirocumab	DB01039	fenofibrate	C0020473	hyperlipidemia
DB09302	Alirocumab	DB00973	ezetimibe	C0020443	hypercholesterolemia
DB09302	Alirocumab	DB00973	ezetimibe	C0020473	hyperlipidemia
DB08907	canagliflozin	DB01016	glyburide	C0020456	hyperglycemia
DB08907	canagliflozin	DB01016	glyburide	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB08907	canagliflozin	DB01016	glyburide	C0011849	diabetes mellitus
DB00338	omeprazole	DB00213	pantoprazole	C0043515	Zollinger-Ellison syndrome
DB00338	omeprazole	DB00213	pantoprazole	C0041582	Ulcer
DB00338	omeprazole	DB00213	pantoprazole	C0014868	Esophagitis
DB00338	omeprazole	DB00213	pantoprazole	C0030920	Peptic Ulcer
DB00338	omeprazole	DB00213	pantoprazole	C0017168	gastroesophageal reflux disease (GERD)
DB00563	methotrexate	DB00650	leucovorin	C0029463	osteosarcoma
DB08816	ticagrelor	DB00758	clopidogrel	C0027051	Myocardial Infarction
DB08816	ticagrelor	DB00758	clopidogrel	C0040053	thrombosis
DB08816	ticagrelor	DB00758	clopidogrel	C0948089	acute coronary syndrome (ACS)
DB08816	ticagrelor	DB00758	clopidogrel	C0038454	stroke
DB01001	albuterol	DB00727	Nitroglycerin	C0022876	Premature Obstetric Labor
DB00178	ramipril	DB00758	clopidogrel	C0027051	Myocardial Infarction
DB00178	ramipril	DB00758	clopidogrel	C0038454	stroke
DB00563	methotrexate	DB08895	tofacitinib	C0003873	rheumatoid arthritis
DB08893	mirabegron	DB01591	solifenacin-succinate	C0878773	Overactive Bladder
DB08893	mirabegron	DB01591	solifenacin-succinate	C0042024	urinary incontinence
DB00682	warfarin	DB00498	phenindione	C0040053	thrombosis
DB00682	warfarin	DB00498	phenindione	C0149871	deep vein thrombosis (DVT)
DB00682	warfarin	DB00498	phenindione	C0004238	atrial fibrillation (AF)
DB00682	warfarin	DB00498	phenindione	C0034065	pulmonary embolism (PE)
DB00682	warfarin	DB00498	phenindione	C0878544	cardiomyopathy
DB00682	warfarin	DB00498	phenindione	C0004239	Atrial Flutter
DB01217	anastrozole	DB00007	leuprolide	C1458155	Mammary Neoplasms
DB00370	mirtazapine	DB01175	escitalopram	C1269683	Major Depressive Disorder
DB00563	methotrexate	DB11767	sarilumab	C0003873	rheumatoid arthritis
DB06441	CANGRELOR	DB08816	ticagrelor	C0040053	thrombosis
DB08820	ivacaftor	DB09280	lumacaftor	C0010674	cystic fibrosis
DB09045	Dulaglutide	DB00222	glimepiride	C0020456	hyperglycemia
DB09045	Dulaglutide	DB00222	glimepiride	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00682	warfarin	DB01109	Heparin	C0149871	deep vein thrombosis (DVT)
DB01204	mitoxantrone	DB00987	cytarabine	C0023467	Leukemia, Myelocytic, Acute
DB01204	mitoxantrone	DB00987	cytarabine	C0024299	Lymphoma
DB00530	erlotinib	DB11363	alectinib	C0007131	Non-Small Cell Lung Carcinoma
DB09075	edoxaban	DB00945	aspirin	C0040053	thrombosis
DB00065	Infliximab	DB06674	golimumab	C0038013	ankylosing spondylitis
DB00065	Infliximab	DB06674	golimumab	C0009324	ulcerative colitis
DB00065	Infliximab	DB06674	golimumab	C0003873	rheumatoid arthritis
DB00065	Infliximab	DB06674	golimumab	C0003872	psoriatic arthritis
DB00966	telmisartan	DB00310	chlorthalidone	C0020538	Hypertensive disease
DB00966	telmisartan	DB00310	chlorthalidone	C0018802	congestive heart failure
DB00569	Fondaparinux	DB00945	aspirin	C0040053	thrombosis
DB00295	Morphine	DB00813	Fentanyl	C0030193	Pain
DB01016	glyburide	DB00331	metformin	C0020456	hyperglycemia
DB01016	glyburide	DB00331	metformin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB01016	glyburide	DB00331	metformin	C0011849	diabetes mellitus
DB01115	nifedipine	DB00966	telmisartan	C0020538	Hypertensive disease
DB00966	telmisartan	DB01076	atorvastatin	C0020538	Hypertensive disease
DB00966	telmisartan	DB01076	atorvastatin	C0038454	stroke
DB00047	Insulin Glargine	DB01261	sitagliptin	C0020456	hyperglycemia
DB00047	Insulin Glargine	DB01261	sitagliptin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB00047	Insulin Glargine	DB01261	sitagliptin	C0011849	diabetes mellitus
DB06441	CANGRELOR	DB06209	prasugrel	C0040053	thrombosis
DB00688	mycophenolate-mofetil	DB00959	methylprednisolone	C0033860	psoriasis
DB00541	vincristine	DB00987	cytarabine	C0024305	non-Hodgkin lymphoma (NHL)
DB00541	vincristine	DB00987	cytarabine	C0023418	Leukemia
DB00541	vincristine	DB00987	cytarabine	C0023449	Acute Lymphocytic Leukemia
DB00541	vincristine	DB00987	cytarabine	C0024299	Lymphoma
DB04876	vildagliptin	DB00030	insulin human	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB04876	vildagliptin	DB00030	insulin human	C0011849	diabetes mellitus
DB00959	methylprednisolone	DB01222	budesonide	C0035457	Rhinitis, Allergic, Perennial
DB00959	methylprednisolone	DB01222	budesonide	C0020517	Hypersensitivity
DB00959	methylprednisolone	DB01222	budesonide	C0010346	Crohn's disease
DB00959	methylprednisolone	DB01222	budesonide	C2607914	Allergic Rhinitis (Disorder)
DB00959	methylprednisolone	DB01222	budesonide	C0004096	asthma
DB00959	methylprednisolone	DB01222	budesonide	C0018621	Hay Fever
DB01068	clonazepam	DB01320	fosphenytoin	C0036572	seizures
DB01068	clonazepam	DB01320	fosphenytoin	C0014544	epilepsy
DB00381	amlodipine	DB00275	olmesartan	C0020538	Hypertensive disease
DB08907	canagliflozin	DB06292	dapagliflozin	C0020456	hyperglycemia
DB08907	canagliflozin	DB06292	dapagliflozin	C0011860	Diabetes Mellitus, Non-Insulin-Dependent
DB08907	canagliflozin	DB06292	dapagliflozin	C0011849	diabetes mellitus
DB00065	Infliximab	DB00993	azathioprine	C0009324	ulcerative colitis
DB00065	Infliximab	DB00993	azathioprine	C0010346	Crohn's disease
DB00065	Infliximab	DB00993	azathioprine	C0003873	rheumatoid arthritis
DB00328	indomethacin	DB11560	lesinurad	C0018099	gout
DB11560	lesinurad	DB00788	naproxen	C0018099	gout
DB00016	Erythropoietin	DB09146	Sucroferric Oxyhydroxide	C0002871	anemia
DB00635	prednisone	DB01656	roflumilast	C0004096	asthma
DB00273	topiramate	DB00186	lorazepam	C0238111	Lennox-Gastaut Syndrome
DB00273	topiramate	DB00186	lorazepam	C0014544	epilepsy
DB00043	omalizumab	DB00860	prednisolone	C0004096	asthma
DB00043	omalizumab	DB00860	prednisolone	C0020517	Hypersensitivity
DB00683	Midazolam	DB00818	propofol	C0038220	status epilepticus
DB00264	metoprolol	DB00722	lisinopril	C0027051	Myocardial Infarction
DB00264	metoprolol	DB00722	lisinopril	C0020538	Hypertensive disease
DB00695	furosemide	DB00988	dopamine	C0018802	congestive heart failure
DB00531	cyclophosphamide	DB00020	sargramostim	C1458155	Mammary Neoplasms
